ID,Trigger Condition,Data Types Involved,Regulations Triggered,DPA Required?,Required DPA / Contract Clauses,Additional Obligations,Lichen Action / Owner
A-01,Vendor will process personal data of EU/EEA data subjects on behalf of Lichen,"Any personal data of EU/EEA individuals (name, email, ID, behavioral, device identifiers)",GDPR Art. 28; GDPR Art. 4(8),REQUIRED,GDPR Art. 28 DPA; mandatory clauses: subject matter & duration; nature & purpose of processing; data type & data subject categories; obligations & rights of controller,Lichen Legal must execute Art. 28 DPA before any processing begins.,Owner: General Counsel / Privacy Team
A-02,Vendor will process personal data of California residents and qualifies as a service provider under CCPA,"Personal information as defined under Cal. Civ. Code §1798.140 (broad — includes inferences, browsing history, identifiers)",CCPA/CPRA §1798.100 et seq.; Cal. Civ. Code §1798.140(ag),REQUIRED,CCPA Service Provider Agreement (or addendum); must prohibit: sale or sharing of PI; use for vendor's own commercial purposes; retention beyond contract; combining PI across clients,Lichen Legal must attach or execute CCPA Service Provider addendum. Verify vendor has not sold or shared the data in prior 12 months.,Owner: Legal / Privacy
A-03,"Vendor will process special-category personal data of EU/EEA data subjects (e.g., health, biometric, union membership)",Health/medical data; biometric identifiers; racial or ethnic origin; religious beliefs; criminal conviction data; trade union membership,GDPR Art. 9; GDPR Art. 28; potentially HIPAA if US health data overlaps,REQUIRED,GDPR Art. 28 DPA with explicit Art. 9 processing provisions; document legal basis under Art. 9(2); DPIA under Art. 35 mandatory; enhanced security obligations,DPIA must be completed and documented before engagement. CISO approval required.,Owner: Privacy Team + CISO
A-04,Vendor will process personal data of minors (under 16 in EU; under 13 or 16 depending on US state law),Personal data where data subject age is known or reasonably inferred to be below applicable threshold,GDPR Art. 8; COPPA (US); UK GDPR Age Appropriate Design Code,REQUIRED,GDPR Art. 28 DPA; COPPA written agreement if applicable; vendor must implement age-verification or age-appropriate processing controls; parental consent mechanism documentation required,Engage Privacy Team and Legal before any processing of minor data. Separate DPIA required.,Owner: General Counsel
A-05,Vendor will process personal data of UK data subjects post-Brexit,Any personal data of UK individuals,UK GDPR (retained EU law); Data Protection Act 2018,REQUIRED,UK GDPR Art. 28 DPA (separate from EU GDPR DPA or combined with appropriate UK-specific addendum); UK ICO standard clauses if applicable,Confirm whether EU Art. 28 DPA is sufficient or a UK addendum is required.,Owner: Legal / Privacy
B-01,"Vendor will transfer or access EU/EEA personal data from a country without EU adequacy decision (e.g., US, India, non-adequate third country)",Any EU/EEA personal data transferred to or accessed from a non-adequate country,GDPR Ch. V (Arts. 44–49); EDPB transfer guidance,REQUIRED,Standard Contractual Clauses (SCCs) — 2021 EU SCCs (Commission Decision 2021/914); Transfer Impact Assessment (TIA) documenting legal landscape of destination country; Supplementary Technical Measures where TIA identifies residual risk,Legal must determine applicable SCC module (C2P or C2C). TIA must be completed and retained.,Owner: Privacy Team / External Counsel
B-02,Vendor will transfer UK personal data to a non-adequate third country,UK personal data,UK GDPR Art. 46; ICO International Data Transfer Agreement (IDTA),REQUIRED,UK IDTA (replaces EU SCCs for UK-origin data post-Brexit) or UK Addendum to EU SCCs; Transfer Risk Assessment (TRA) per ICO guidance,Confirm whether EU SCCs + UK Addendum or standalone IDTA is appropriate for the transfer pattern.,Owner: Legal
B-03,"Vendor is located in an EU-adequate country (e.g., UK pre-adequacy review expiry, Switzerland, Japan, Canada for commercial organizations)",Any personal data transferred to an adequate country,GDPR Art. 45; applicable adequacy decision,CONDITIONAL,Art. 28 DPA still required if vendor is a processor. SCCs not required if adequacy decision is current and in force. Monitor adequacy status — decisions can be invalidated (cf. Schrems II).,Legal to verify adequacy decision is current at time of contract and annually.,Owner: Privacy Team
B-04,"Vendor will access or process personal data from California under a business purpose but does not meet service provider definition (e.g., limited contract controls)",California personal information,CCPA/CPRA — third party or contractor category applies,CONDITIONAL,"If vendor cannot be classified as a service provider, data sharing may constitute a sale or share under CCPA, triggering opt-out rights and additional disclosure obligations. Contractor agreement required if applicable.","Legal to assess whether vendor qualifies as service provider, contractor, or third party. Incorrect classification creates CCPA sale/share liability.",Owner: Legal / Privacy
C-01,Vendor will engage sub-processors to perform any part of the processing activities covered by the DPA,Any personal data within scope of the DPA,GDPR Art. 28(2) and (4); contractual flow-down obligation,REQUIRED,DPA must include: general or specific authorization for sub-processing; obligation on vendor to impose equivalent DPA obligations on sub-processors; notification right for Lichen prior to sub-processor changes; Lichen right to object to new sub-processors,Vendor must provide current sub-processor list at contract execution. Lichen IT Security and Legal must review sub-processors handling RESTRICTED data.,Owner: Legal / IT Security
